"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\home\home.component.css", "CSS", 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\home\home.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\home\home.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\home\home.component.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-extraordinarios\deuda.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-extraordinarios\deuda.service.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 15, 42
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-extraordinarios\deudores.model.spec.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-extraordinarios\deudores.model.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 0, 2, 43
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-extraordinarios\ingresos-extraordinarios.component.css", "CSS", 0, 0, 0, 0, 0, 125, 20, 38, 183
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-extraordinarios\ingresos-extraordinarios.component.html", "HTML", 0, 0, 0, 0, 36, 0, 1, 24, 61
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-extraordinarios\ingresos-extraordinarios.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-extraordinarios\ingresos-extraordinarios.component.ts", "TypeScript", 0, 0, 154, 0, 0, 0, 8, 33, 195
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-extraordinarios\personas.model.spec.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-extraordinarios\personas.model.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 2, 40
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-extraordinarios\personas.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-extraordinarios\personas.service.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 11, 35
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-ordinarios\ingresos-ordinarios.component.css", "CSS", 0, 0, 0, 0, 0, 125, 20, 38, 183
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-ordinarios\ingresos-ordinarios.component.html", "HTML", 0, 0, 0, 0, 62, 0, 2, 18, 82
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-ordinarios\ingresos-ordinarios.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\ingresos-ordinarios\ingresos-ordinarios.component.ts", "TypeScript", 0, 0, 149, 0, 0, 0, 7, 27, 183
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\inicio-sesion\inicio-sesion.component.css", "CSS", 0, 0, 0, 0, 0, 257, 11, 45, 313
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\inicio-sesion\inicio-sesion.component.html", "HTML", 0, 0, 0, 0, 117, 0, 5, 23, 145
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\inicio-sesion\inicio-sesion.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\inicio-sesion\inicio-sesion.component.ts", "TypeScript", 0, 0, 150, 0, 0, 0, 16, 35, 201
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\inquilinos\inquilinos.component.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 2, 16, 57
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\invitacion\correo.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\invitacion\correo.service.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 4, 21
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\invitacion\invitacion.component.css", "CSS", 0, 0, 0, 0, 0, 192, 5, 64, 261
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\invitacion\invitacion.component.html", "HTML", 0, 0, 0, 0, 66, 0, 2, 12, 80
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\invitacion\invitacion.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\invitacion\invitacion.component.ts", "TypeScript", 0, 0, 92, 0, 0, 0, 2, 16, 110
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\invitacion\invitacion.model.spec.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\invitacion\invitacion.model.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\invitacion\invitacion.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\invitacion\invitacion.service.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 1, 9, 27
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\invitacion\usuario.model.spec.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\invitacion\usuario.model.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 1, 33
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\mis-deudas\mis-deudas.component.css", "CSS", 0, 0, 0, 0, 0, 32, 0, 7, 39
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\mis-deudas\mis-deudas.component.html", "HTML", 0, 0, 0, 0, 42, 0, 4, 5, 51
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\mis-deudas\mis-deudas.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\mis-deudas\mis-deudas.component.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\modelos\deudas.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 7, 45
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\modelos\fraccionamientos.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 10, 44
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\modelos\inquilinos.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 1, 21
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\modelos\propiedades.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 1, 21
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\modelos\usuarios.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 2, 10, 59
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\not-found\not-found.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\not-found\not-found.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\not-found\not-found.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\not-found\not-found.component.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\notificaciones-usuarios\notificaciones-usuarios.component.css", "CSS", 0, 0, 0, 0, 0, 44, 0, 9, 53
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\notificaciones-usuarios\notificaciones-usuarios.component.html", "HTML", 0, 0, 0, 0, 21, 0, 1, 3, 25
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\notificaciones-usuarios\notificaciones-usuarios.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\notificaciones-usuarios\notificaciones-usuarios.component.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 1, 8, 53
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\notificaciones\notificaciones.component.css", "CSS", 0, 0, 0, 0, 0, 68, 27, 21, 116
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\notificaciones\notificaciones.component.html", "HTML", 0, 0, 0, 0, 85, 0, 2, 22, 109
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\notificaciones\notificaciones.component.ts", "TypeScript", 0, 0, 160, 0, 0, 0, 14, 24, 198
